node.from.number,node.to.number,id,resistance.pu,reactance.pu,charging.susceptance.pu,ratingA,ratingB,ratingC,node.from.admittance.real.pu,node.from.admittance.imag.pu,node.to.admittance.real.pu,node.to.admittance.imag.pu,status,owner.number1,owner.fraction1,owner.number2,owner.fraction2,owner.number3,owner.fraction3,owner.number4,owner.fraction4,metered.end,length
111118,111120,2,0.00838,0.01994,0.00459,50,100,0,0,0,0,0,1,1,9,58,1,NA,NA,NA,NA,NA,NA
111119,111128,1,0.02328,0.0554,0.01275,70,100,0,0,0,0,0,0,1,25,58,1,NA,NA,NA,NA,NA,NA
111119,111128,2,0.02328,0.0554,0.01275,70,100,0,0,0,0,0,0,1,25,58,1,NA,NA,NA,NA,NA,NA
111119,111138,1,0.02421,0.05762,0.01326,70,100,0,0,0,0,0,1,1,26,58,1,NA,NA,NA,NA,NA,NA
111120,111129,1,0.00931,0.02216,0.0051,70,100,0,0,0,0,0,1,1,10,58,1,NA,NA,NA,NA,NA,NA
111120,111129,2,0.00931,0.02216,0.0051,70,100,0,0,0,0,0,1,1,10,58,1,NA,NA,NA,NA,NA,NA
111121,111122,1,0.01909,0.04543,0.01046,70,100,0,0,0,0,0,1,2,20.5,58,1,NA,NA,NA,NA,NA,NA
111121,111129,1,0.02328,0.0554,0.01275,70,100,0,0,0,0,0,1,2,25,58,1,NA,NA,NA,NA,NA,NA
111121,111129,2,0.02328,0.0554,0.01275,70,100,0,0,0,0,0,1,2,25,58,1,NA,NA,NA,NA,NA,NA
111121,111130,1,0.02793,0.06648,0.0153,70,100,0,0,0,0,0,1,1,30,58,1,NA,NA,NA,NA,NA,NA
111121,111130,2,0.02793,0.06648,0.0153,70,100,0,0,0,0,0,1,1,30,58,1,NA,NA,NA,NA,NA,NA
111122,111126,1,0.0135,0.03213,0.0074,70,100,0,0,0,0,0,1,2,14.5,58,1,NA,NA,NA,NA,NA,NA
111123,111133,1,0.0138,0.0329,0.00757,50,100,0,0,0,0,0,1,2,14.85,58,1,NA,NA,NA,NA,NA,NA
111123,111134,1,0.01143,0.02721,0.00626,50,100,0,0,0,0,0,1,2,12.28,58,1,NA,NA,NA,NA,NA,NA
111123,111145,1,0.00507,0.01208,0.03482,50,100,0,0,0,0,0,1,2,5,58,1,NA,NA,NA,NA,NA,NA
111123,111145,2,0.00507,0.01208,0.03482,50,100,0,0,0,0,0,1,2,5,58,1,NA,NA,NA,NA,NA,NA
111127,111129,1,0.00605,0.0144,0.00332,70,100,0,0,0,0,0,1,1,6.5,609,1,NA,NA,NA,NA,NA,NA
111128,111138,1,0.01871,0.04454,0.01025,70,100,0,0,0,0,0,1,2,20.1,58,1,NA,NA,NA,NA,NA,NA
111129,111144,1,0.0978,0.2327,0.0535,50,100,0,0,0,0,0,0,1,105,58,1,NA,NA,NA,NA,NA,NA
111131,111137,1,0.0717,0.17,0.039,50,100,0,0,0,0,0,1,2,77,609,1,NA,NA,NA,NA,NA,NA
111131,111141,1,0.0265,0.0632,0.0145,50,100,0,0,0,0,0,1,1,28.5,58,1,NA,NA,NA,NA,NA,NA
111131,111141,2,0.0265,0.0632,0.0145,50,100,0,0,0,0,0,1,1,28.5,58,1,NA,NA,NA,NA,NA,NA
111132,111133,1,0.0233,0.0554,0.0127,50,100,0,0,0,0,0,1,1,25,58,1,NA,NA,NA,NA,NA,NA
111133,111134,1,0.0112,0.0266,0.0061,50,100,0,0,0,0,0,1,1,12,58,1,NA,NA,NA,NA,NA,NA
111133,111137,1,0.0072,0.0171,0.0039,50,100,0,0,0,0,0,1,1,7.7,58,1,NA,NA,NA,NA,NA,NA
111133,111145,1,0.00507,0.01208,0.03482,50,100,0,0,0,0,0,1,2,5,58,1,NA,NA,NA,NA,NA,NA
111133,111145,2,0.00507,0.01208,0.03482,50,100,0,0,0,0,0,1,2,5,58,1,NA,NA,NA,NA,NA,NA
111134,111135,1,0.0149,0.0355,0.0082,50,100,0,0,0,0,0,1,1,16,58,1,NA,NA,NA,NA,NA,NA
111134,111135,2,0.0149,0.0355,0.0082,50,100,0,0,0,0,0,1,1,16,58,1,NA,NA,NA,NA,NA,NA
111134,111137,1,0.06357,0.15131,0.0348,50,100,0,0,0,0,0,1,1,68.28,58,1,NA,NA,NA,NA,NA,NA
111134,111137,2,0.06357,0.15131,0.0348,50,100,0,0,0,0,0,1,1,68.28,58,1,NA,NA,NA,NA,NA,NA
111135,111136,1,0.013,0.031,0.0071,50,100,0,0,0,0,0,1,1,14,58,1,NA,NA,NA,NA,NA,NA
111135,111136,2,0.013,0.031,0.0071,50,100,0,0,0,0,0,1,1,14,58,1,NA,NA,NA,NA,NA,NA
111136,111137,1,0.01402,0.03337,0.00768,50,100,0,0,0,0,0,1,1,15.06,58,1,NA,NA,NA,NA,NA,NA
111136,111137,2,0.01402,0.03337,0.00768,50,100,0,0,0,0,0,1,1,15.06,58,1,NA,NA,NA,NA,NA,NA
111137,111139,1,0.0242,0.0576,0.0133,50,100,0,0,0,0,0,1,1,26,58,1,NA,NA,NA,NA,NA,NA
111137,111140,1,0.0393,0.0936,0.0215,50,100,0,0,0,0,0,1,2,42.23,58,1,NA,NA,NA,NA,NA,NA
111137,111140,2,0.0393,0.0936,0.0215,50,100,0,0,0,0,0,1,2,42.23,58,1,NA,NA,NA,NA,NA,NA
111139,111140,1,0.0242,0.0576,0.0133,50,100,0,0,0,0,0,1,1,26,58,1,NA,NA,NA,NA,NA,NA
111140,181100,1,0.01214,0.06474,0.11144,100,100,0,0,0,0,0,1,2,78.48,3,1,NA,NA,NA,NA,NA,NA
111140,181100,2,0.01214,0.06474,0.11144,100,100,0,0,0,0,0,1,2,78.48,3,1,NA,NA,NA,NA,NA,NA
111141,111142,1,0.0327,0.0778,0.0179,50,100,0,0,0,0,0,1,1,35.12,58,1,NA,NA,NA,NA,NA,NA
111141,111142,2,0.0327,0.0778,0.0179,50,100,0,0,0,0,0,1,1,35.12,58,1,NA,NA,NA,NA,NA,NA
111142,111143,1,0.0214,0.0509,0.0117,50,100,0,0,0,0,0,1,2,25,58,1,NA,NA,NA,NA,NA,NA
112200,112201,1,0.0043,0.0231,0.0398,208,229,250,0,0,0,0,1,1,28,58,1,NA,NA,NA,NA,NA,NA
112200,112201,2,0.0043,0.0231,0.0398,208,229,250,0,0,0,0,1,1,28,58,1,NA,NA,NA,NA,NA,NA
112200,112205,1,0.00263,0.01402,0.02414,208,200,0,0,0,0,0,1,2,17,58,1,NA,NA,NA,NA,NA,NA
112200,112205,2,0.00263,0.01402,0.02414,208,200,0,0,0,0,0,1,2,17,58,1,NA,NA,NA,NA,NA,NA
112200,112233,1,0.003868,0.020623,0.0355,208,229,250,0,0,0,0,0,1,25,58,1,NA,NA,NA,NA,NA,NA
112200,112233,2,0.003868,0.020623,0.0355,208,229,250,0,0,0,0,0,1,25,58,1,NA,NA,NA,NA,NA,NA
112200,112234,1,0.006962,0.037121,0.0639,208,200,0,0,0,0,0,1,1,45,58,1,NA,NA,NA,NA,NA,NA
112200,112234,2,0.006962,0.037121,0.0639,208,200,0,0,0,0,0,1,1,45,58,1,NA,NA,NA,NA,NA,NA
112201,112202,1,0.00063,0.00706,0.01728,264,290,563,0,0,0,0,1,1,10.29,3,1,NA,NA,NA,NA,NA,NA
112201,112202,2,0.00063,0.00706,0.01728,264,290,563,0,0,0,0,1,1,10.29,3,1,NA,NA,NA,NA,NA,NA
112201,112208,1,0.01392,0.07424,0.1278,208,229,250,0,0,0,0,1,2,90,58,1,NA,NA,NA,NA,NA,NA
112201,112208,2,0.01392,0.07424,0.1278,208,229,250,0,0,0,0,1,2,90,58,1,NA,NA,NA,NA,NA,NA
112201,112233,1,0.004641,0.024747,0.0426,208,229,250,0.01657,0.07366,0.02743,0,0,2,30,58,1,NA,NA,NA,NA,NA,NA
112201,112233,2,0.009282,0.049494,0.0852,208,229,250,0.01657,0.07366,0.02743,0,0,2,60,58,1,NA,NA,NA,NA,NA,NA
112201,112241,1,0.009127,0.048669,0.08378,208,200,0,0,0,0,0,1,2,59,3,1,NA,NA,NA,NA,NA,NA
112201,112241,2,0.009127,0.048669,0.08378,208,200,0,0,0,0,0,1,2,59,3,1,NA,NA,NA,NA,NA,NA
112202,112238,1,0.003945,0.021035,0.0362,208,229,250,0,0,0,0,1,2,25.5,58,1,NA,NA,NA,NA,NA,NA
112202,112238,2,0.00789,0.04207,0.0724,208,229,250,0,0,0,0,1,2,51,58,1,NA,NA,NA,NA,NA,NA
112203,112235,1,0.00936,0.05343,0.09165,208,229,250,0,0,0,0,1,2,65,58,1,NA,NA,NA,NA,NA,NA
112203,112238,1,0.007344,0.041922,0.07191,208,229,250,0,0,0,0,1,1,51,58,1,NA,NA,NA,NA,NA,NA
112204,112236,1,0.00711,0.03789,0.06522,208,229,250,0,0,0,0,1,2,45.93,58,1,NA,NA,NA,NA,NA,NA
112204,182227,1,0.00871,0.04647,0.07999,234,257,281,0,0,0,0,1,2,56.33,3,1,NA,NA,NA,NA,NA,NA
112204,182227,2,0.00966,0.05149,0.08864,234,257,281,0,0,0,0,1,2,62.42,3,1,NA,NA,NA,NA,NA,NA
112205,112208,1,0.00464,0.02475,0.0426,208,200,0,0,0,0,0,0,2,30,58,1,NA,NA,NA,NA,NA,NA
112205,112208,2,0.00464,0.02475,0.0426,208,200,0,0,0,0,0,0,2,30,58,1,NA,NA,NA,NA,NA,NA
112205,112209,1,0.00464,0.02475,0.0426,208,200,0,0,0,0,0,0,2,30,58,1,NA,NA,NA,NA,NA,NA
112205,112209,2,0.00464,0.02475,0.0426,208,200,0,0,0,0,0,0,2,30,58,1,NA,NA,NA,NA,NA,NA
112205,112238,1,0.01191,0.06352,0.10934,208,229,250,0,0,0,0,1,2,77,58,1,NA,NA,NA,NA,NA,NA
112205,112238,2,0.01191,0.06352,0.10934,208,229,250,0,0,0,0,1,2,77,58,1,NA,NA,NA,NA,NA,NA
112206,112224,1,0.00495,0.0264,0.04544,0,0,0,0,0,0,0,1,1,32,58,1,NA,NA,NA,NA,NA,NA
112206,112224,4,0.00495,0.0264,0.04544,0,0,0,0,0,0,0,1,1,32,58,1,NA,NA,NA,NA,NA,NA
112206,112236,3,0.007,0.0371,0.0639,0,0,0,0,0,0,0,1,1,45,58,1,NA,NA,NA,NA,NA,NA
112206,112236,4,0.007,0.0371,0.0639,0,0,0,0,0,0,0,1,1,45,58,1,NA,NA,NA,NA,NA,NA
112208,112234,1,0.00572,0.03052,0.05254,208,229,250,0,0,0,0,1,1,37,58,1,NA,NA,NA,NA,NA,NA
112208,112234,2,0.00572,0.03052,0.05254,208,229,250,0,0,0,0,1,1,37,58,1,NA,NA,NA,NA,NA,NA
112208,112239,1,0.01547,0.08249,0.142,208,200,0,0,0,0,0,0,2,100,58,1,NA,NA,NA,NA,NA,NA
112208,112239,2,0.01547,0.08249,0.142,208,200,0,0,0,0,0,0,2,100,58,1,NA,NA,NA,NA,NA,NA
112224,112235,1,0.00572,0.0305,0.05254,208,229,250,0,0,0,0,1,2,37,3,1,NA,NA,NA,NA,NA,NA
112224,112235,2,0.00572,0.03052,0.05254,208,229,250,0,0,0,0,1,2,37,3,1,NA,NA,NA,NA,NA,NA
112234,112239,1,0,1e-04,0,0,0,0,0,0,0,0,1,2,0,58,1,NA,NA,NA,NA,NA,NA
112234,182444,1,0.001547,0.008249,0.0142,200,0,0,0,0,0,0,1,1,10,58,1,NA,NA,NA,NA,NA,NA
112234,182444,2,0.001547,0.008249,0.0142,200,0,0,0,0,0,0,1,1,10,58,1,NA,NA,NA,NA,NA,NA
112235,112237,1,0.00341,0.01818,0.0313,208,229,250,0,0,0,0,1,1,22.04,3,1,NA,NA,NA,NA,NA,NA
112235,112237,2,0.00341,0.01818,0.0313,208,229,250,0,0,0,0,1,1,22.04,3,1,NA,NA,NA,NA,NA,NA
112235,112238,2,0.018576,0.106038,0.18189,208,229,250,0,0,0,0,1,1,129,58,1,NA,NA,NA,NA,NA,NA
112235,132220,1,0.01603,0.08549,0.14717,234,257,281,0,0,0,0,1,1,103.64,3,1,NA,NA,NA,NA,NA,NA
112235,132220,2,0.01603,0.08549,0.14717,234,257,281,0,0,0,0,1,1,103.64,3,1,NA,NA,NA,NA,NA,NA
